student_id,age,gender,socioeconomic_status,region,total_logins,weekly_login_count,avg_session_duration,resource_click_count,forum_posts,quiz_attempts_count,video_watch_completion_rate,daily_internet_usage_mins,edu_sites_visit_count,nonedu_sites_visit_count,peak_usage_time,tab_switch_count,total_classes,classes_attended,assignment_score_avg,quiz_score_avg,midterm_exam_score,final_exam_score,attendance_percentage,overall_performance_score,performance_label
S0965,17,Male,Medium,South,41,4,64.08776273377735,80.0,1,4,0.68,272.0,18,14,Evening,8,60,51,67.0,71.1,79.0,68.0,85.0,71.72,Medium
S0793,21,Female,Low,West,10,9,33.05477060233965,28.0,7,2,0.91,267.0,23,11,Afternoon,3,60,43,44.8,40.9,37.7,44.6,71.67,41.83,Low
S0030,20,Female,Medium,South,12,1,,,3,1,0.38,,17,7,Morning,14,60,35,59.1,,33.6,52.9,58.33,49.57,Low
S0629,23,Female,Medium,North,12,1,33.725039010469615,24.0,2,4,0.98,190.0,15,10,Evening,13,60,39,45.4,34.1,36.4,57.3,65.0,44.01,Low
S0945,22,Male,Medium,North,30,7,49.72096691055096,48.0,2,1,0.77,101.0,10,13,Afternoon,3,60,52,71.7,62.0,76.8,69.7,86.67,70.69,Medium
S0573,17,Female,High,West,12,5,54.976320769202445,97.0,3,1,0.98,146.0,15,18,Evening,2,60,38,57.6,37.9,35.1,36.8,63.33,40.67,High
S0908,23,Female,Medium,East,44,6,45.320253433682176,98.0,5,4,0.92,227.0,12,9,Morning,1,60,47,68.1,72.5,75.5,79.2,78.33,74.53,Medium
S1081,24,Female,Low,South,39,3,57.89593619624759,84.0,3,4,0.63,200.0,31,9,Evening,9,60,49,65.3,67.3,74.2,79.9,81.67,72.75,Medium
S0451,22,Male,Medium,South,5,3,53.91303686869755,10.0,2,4,0.33,271.0,16,4,Night,4,60,31,57.9,47.4,53.8,42.7,51.67,50.01,Low
S1610,22,Female,High,North,46,1,48.47342508462262,98.0,3,4,0.9,63.0,20,10,Afternoon,3,60,56,91.9,88.0,94.6,97.4,93.33,93.58,High
S1291,22,Male,Medium,North,33,1,81.02832135810874,61.0,0,4,0.74,151.0,17,9,Night,12,60,52,67.5,62.6,77.7,67.5,86.67,69.58,Medium
S1079,23,Female,Low,North,31,6,50.42259391248551,61.0,3,3,0.72,270.0,20,12,Afternoon,5,60,53,75.5,62.7,79.1,71.3,88.33,72.76,Medium
S0255,17,Male,High,East,13,3,39.03025713278926,48.0,5,3,0.93,112.0,22,14,Afternoon,1,60,42,52.8,42.9,37.3,56.3,70.0,47.22,Low
S0125,21,Male,Medium,East,10,7,36.43501762590801,34.0,1,3,0.82,144.0,27,15,Night,12,60,41,54.8,57.5,30.3,49.3,68.33,46.34,Low
S1928,22,Female,High,South,55,3,58.71283705933922,17.0,2,1,0.84,208.0,23,8,Afternoon,11,60,55,91.2,93.4,87.7,85.7,91.67,88.94,High
S0252,17,Male,Medium,North,16,6,37.27431251243759,59.0,3,4,0.78,168.0,17,11,Afternoon,6,60,39,56.5,43.0,32.4,45.7,65.0,43.33,Low
S0586,23,Female,Medium,South,13,9,34.20263678724152,10.0,3,2,0.42,265.0,21,7,Morning,6,60,41,43.1,42.1,54.9,57.1,68.33,50.64,Low
S1569,21,Female,Low,East,45,2,45.826916304012165,13.0,2,2,0.85,187.0,20,11,Morning,4,60,56,99.6,92.7,98.8,96.6,93.33,97.08,Medium
S0825,17,Male,High,West,44,6,60.19378182951953,70.0,3,2,0.63,207.0,9,7,Night,1,60,54,72.1,70.9,78.7,68.3,90.0,72.7,Medium
S0508,19,Female,High,West,17,2,40.04121827989851,78.0,3,2,0.97,222.0,20,13,Evening,7,60,40,54.2,32.8,58.6,38.7,66.67,46.59,Low
S0890,24,Female,Medium,North,33,1,30.4306245447927,33.0,2,3,0.94,77.0,17,13,Morning,4,60,47,66.2,61.6,71.2,68.1,78.33,67.35,Medium
S0071,18,Male,Medium,North,8,2,47.77358461964676,27.0,2,4,0.77,227.0,22,8,Morning,11,60,35,41.4,47.9,56.5,41.3,58.33,47.2,Low
S1609,21,Male,High,West,58,3,55.60594174543264,76.0,2,2,0.64,247.0,24,8,Afternoon,12,60,55,95.9,97.8,93.1,99.8,91.67,96.61,High
S1533,23,Male,Low,North,58,8,37.97118445177272,75.0,4,2,0.94,270.0,16,7,Afternoon,7,60,57,86.2,95.5,94.5,86.2,95.0,90.55,High
S0248,17,Male,Low,East,20,7,48.883120054234496,35.0,1,4,0.71,147.0,20,13,Afternoon,10,60,40,40.6,41.3,57.6,41.4,66.67,46.08,Low
S1451,21,Female,High,West,52,2,39.07371757192769,60.0,1,1,0.43,158.0,19,10,Evening,13,60,56,87.8,89.8,97.8,87.7,93.33,91.17,High
S0213,21,Female,High,South,14,7,39.43881253239219,33.0,4,4,0.92,168.0,21,13,Afternoon,5,60,42,54.4,37.1,41.9,40.9,70.0,43.14,Low
S0910,21,Male,Medium,East,26,6,37.623816374265616,79.0,4,4,0.98,60.0,19,9,Night,13,60,54,70.7,67.4,73.3,70.0,90.0,70.61,Medium
S1742,19,Male,Medium,North,52,3,42.07302601444106,84.0,5,2,0.44,100.0,23,12,Afternoon,5,60,56,90.7,86.7,87.0,89.9,93.33,88.55,High
S1245,22,Male,Low,East,44,8,,,0,3,0.8,,25,10,Afternoon,7,60,54,72.7,,69.4,78.3,90.0,71.77,Medium
S1697,20,Female,Low,West,46,1,51.78166023625035,36.0,5,2,0.84,60.0,15,8,Afternoon,5,60,57,94.0,98.7,88.1,86.4,95.0,90.89,High
S1183,17,Female,Medium,East,34,8,35.412962708564166,80.0,7,1,0.9,172.0,18,10,Morning,12,60,51,71.4,64.5,69.6,74.4,85.0,70.38,Medium
S0362,17,Male,Low,West,6,7,48.93307050005323,20.0,4,2,0.83,228.0,14,2,Night,4,60,41,57.5,45.3,59.7,39.0,68.33,50.17,Low
S1474,22,Male,Medium,East,56,2,49.22206564462479,73.0,3,4,0.61,153.0,27,13,Morning,6,60,59,94.0,80.3,91.7,90.1,98.33,89.4,High
S0679,18,Female,Medium,South,19,4,39.74369066014616,59.0,6,4,0.4,139.0,18,5,Evening,4,60,30,45.1,38.4,42.0,59.6,50.0,47.18,Low
S1622,23,Female,Medium,West,48,3,48.62655285775006,83.0,3,1,0.67,179.0,22,15,Night,3,60,58,91.2,99.7,90.0,89.4,96.67,92.0,High
S1090,17,Female,Low,South,43,3,52.466848560946794,55.0,1,2,0.46,219.0,15,10,Morning,5,60,54,65.5,65.0,73.4,66.8,90.0,68.16,High
S1988,24,Male,High,West,55,7,40.284747690949374,81.0,1,1,0.91,154.0,15,14,Night,2,60,56,85.8,97.1,92.9,91.9,93.33,92.02,High
S1848,21,Female,High,North,58,6,,,1,1,0.52,,19,11,Night,2,60,56,97.5,,90.9,96.6,93.33,92.89,High
S0988,21,Female,Medium,South,38,4,50.54867240214488,93.0,1,1,0.49,294.0,17,9,Evening,2,60,52,75.5,71.5,72.2,70.5,86.67,72.21,Medium
S1513,18,Male,High,East,50,7,28.093151948075434,71.0,3,3,0.31,275.0,21,13,Morning,6,60,56,90.4,80.8,95.0,94.6,93.33,91.12,High
S0112,23,Male,Low,North,12,5,34.84121173010021,52.0,4,1,0.61,183.0,25,8,Morning,14,60,37,57.1,37.9,51.2,60.0,61.67,52.36,Low
S1488,19,Male,Medium,East,53,3,38.18701461343767,51.0,3,2,0.97,178.0,20,10,Afternoon,4,60,55,95.8,90.3,90.3,99.8,91.67,94.25,Low
S1454,17,Female,Medium,South,49,8,,,3,1,0.95,,16,12,Afternoon,9,60,56,92.2,,97.1,92.1,93.33,94.12,High
S0384,21,Female,High,West,14,2,37.95271564389116,38.0,3,4,0.44,263.0,20,10,Evening,3,60,33,43.7,37.3,45.1,55.1,55.0,46.26,Low
S1396,20,Male,Medium,West,40,8,32.022859753849616,74.0,2,4,0.76,189.0,19,7,Afternoon,1,60,54,73.0,68.2,66.4,65.9,90.0,67.93,Medium
S1055,18,Male,Medium,South,40,4,52.27490204156766,37.0,2,2,0.71,197.0,15,6,Evening,9,60,52,71.9,73.3,69.2,70.6,86.67,70.98,Medium
S0756,22,Male,Low,South,21,8,51.80230208417629,35.0,4,4,0.74,262.0,20,7,Afternoon,1,60,30,43.9,33.6,54.0,56.4,50.0,48.62,Low
S0325,22,Female,Medium,East,16,4,35.15006874182985,61.0,5,1,0.69,256.0,18,10,Afternoon,13,60,31,46.4,54.5,48.2,40.4,51.67,46.76,Low
S1624,17,Female,High,South,45,5,54.56775943701701,90.0,5,2,0.95,68.0,14,7,Night,3,60,59,91.8,81.6,86.7,97.2,98.33,89.85,High
S0788,24,Male,Medium,North,9,7,50.14062552424776,57.0,6,2,0.76,172.0,19,12,Morning,14,60,38,59.1,56.7,51.3,46.2,63.33,52.41,Low
S0369,19,Male,Low,South,18,2,59.62195938717637,51.0,2,1,0.56,158.0,19,8,Night,12,60,43,41.8,36.7,37.1,57.5,71.67,44.08,Low
S1820,18,Female,Medium,North,50,6,44.14463383675033,21.0,5,1,0.57,60.0,16,14,Morning,5,60,58,99.9,99.3,96.0,92.0,96.67,96.24,High
S0070,22,Female,High,South,22,4,65.42076040143743,50.0,4,1,0.34,172.0,16,9,Night,4,60,43,49.5,41.8,41.7,53.5,71.67,46.82,Low
S0858,21,Female,Medium,West,40,8,45.93365192931595,69.0,2,2,0.65,155.0,18,8,Afternoon,8,60,54,76.6,71.8,65.7,76.0,90.0,72.19,Medium
S1484,22,Female,Medium,South,56,8,40.90720158259671,24.0,3,1,0.64,177.0,22,7,Evening,2,60,56,88.6,85.9,89.8,93.0,93.33,89.74,High
S1556,21,Male,Medium,South,54,6,52.95483291349085,33.0,3,3,0.74,180.0,17,14,Afternoon,2,60,57,95.0,85.4,86.4,90.2,95.0,89.06,High
S1692,20,Female,Low,East,55,7,43.111162425089695,63.0,1,3,0.91,143.0,13,3,Evening,2,60,57,90.7,87.3,86.6,96.4,95.0,90.5,High
S1475,17,Female,Low,East,50,9,30.231516604427625,69.0,3,1,0.64,214.0,22,11,Night,9,60,58,98.8,95.8,88.6,89.3,96.67,92.29,High
S1799,23,Male,High,West,51,7,61.360348631061214,96.0,0,3,0.71,286.0,16,10,Morning,12,60,55,93.6,88.3,87.0,93.7,91.67,90.59,High
S0479,17,Male,Low,East,8,3,42.026239207568935,25.0,3,1,0.77,360.0,20,9,Morning,4,60,34,56.3,47.1,43.9,36.2,56.67,44.71,Low
S0282,20,Male,Low,East,22,6,57.906444609225474,86.0,4,1,0.71,281.0,25,14,Night,1,60,31,49.0,43.8,53.3,53.7,51.67,50.66,Low
S1648,21,Male,Medium,West,57,3,45.49708144553311,97.0,4,3,0.69,207.0,23,15,Morning,8,60,58,91.3,92.9,95.7,98.1,96.67,94.98,High
S1557,23,Male,Medium,West,52,8,48.52255328903576,89.0,1,3,0.87,218.0,12,7,Afternoon,1,60,58,92.8,90.9,92.2,96.7,96.67,93.41,High
S1730,17,Male,Medium,South,49,3,46.72227132461425,73.0,2,4,0.47,207.0,16,15,Afternoon,10,60,56,98.6,86.7,98.8,89.9,93.33,93.67,High
S0211,23,Male,Low,West,7,8,49.29340822801734,35.0,1,2,0.41,169.0,21,17,Morning,4,60,39,43.8,53.6,30.1,53.3,65.0,44.5,Low
S0298,23,Female,Low,East,11,3,24.17901296811013,81.0,2,2,0.79,232.0,26,13,Morning,4,60,38,59.7,30.7,44.4,41.3,63.33,43.79,Low
S1885,22,Male,Medium,South,56,7,52.12533799410292,73.0,2,2,0.68,187.0,16,13,Evening,10,60,55,93.9,90.9,85.9,89.8,91.67,89.67,High
S1834,23,Female,Low,North,51,5,55.6006945649325,71.0,3,4,0.69,219.0,22,9,Afternoon,7,60,59,97.1,89.2,94.2,90.2,98.33,92.58,High
S0652,24,Male,Medium,North,23,7,41.82649507757465,27.0,5,2,0.6,163.0,25,11,Night,9,60,42,48.8,48.8,34.3,45.7,70.0,43.52,Low
S1234,17,Male,Low,West,41,5,36.20086595276863,88.0,1,2,0.9,183.0,13,16,Afternoon,9,60,45,75.8,73.3,74.9,72.8,75.0,74.13,Medium
S1503,17,Female,Medium,West,55,8,40.133487387147966,69.0,4,1,0.36,135.0,25,6,Afternoon,5,60,57,89.5,82.5,86.9,98.2,95.0,89.93,High
S1932,24,Female,Medium,East,59,8,,,3,2,0.52,,17,14,Night,9,60,57,94.9,,89.8,97.7,95.0,92.35,High
S0917,23,Female,High,East,25,8,45.52372839724996,49.0,1,2,0.5,123.0,12,12,Afternoon,5,60,52,72.9,67.5,76.5,76.5,86.67,73.98,Medium
S0994,24,Female,Medium,South,40,7,39.4656875402478,82.0,0,2,0.59,100.0,22,10,Night,1,60,52,75.6,64.5,71.3,70.5,86.67,70.56,Medium
S0430,20,Male,Medium,West,22,3,26.09989828817057,96.0,1,4,0.49,186.0,21,11,Afternoon,9,60,31,47.4,43.1,51.4,38.4,51.67,45.04,Low
S1371,24,Female,Low,North,25,3,45.47120271810924,58.0,4,1,0.65,112.0,23,10,Afternoon,13,60,46,77.8,72.5,76.5,68.9,76.67,73.68,Medium
S0240,24,Male,Medium,North,14,6,49.62483624066854,14.0,1,1,0.67,121.0,18,10,Night,4,60,38,40.9,42.7,40.3,45.7,63.33,42.52,Low
S0880,17,Male,Medium,South,31,2,43.85182960351574,46.0,3,1,0.86,125.0,31,12,Evening,5,60,49,67.9,61.2,65.5,73.9,81.67,67.64,Medium
S0621,20,Male,Medium,East,10,3,43.0307819200311,62.0,1,2,0.55,292.0,23,13,Night,6,60,39,55.8,57.1,30.2,60.0,65.0,49.64,Low
S0257,23,Female,Medium,North,20,5,40.8777925497553,50.0,3,4,0.87,156.0,16,3,Night,5,60,30,42.4,53.8,57.5,49.7,50.0,51.4,Low
S0612,18,Female,Low,North,17,9,37.07476552884788,35.0,3,1,0.53,165.0,25,12,Evening,3,60,32,41.5,34.3,50.3,39.8,53.33,42.19,Low
S0545,17,Male,Medium,East,17,7,38.89142360194934,28.0,3,2,0.74,146.0,16,12,Morning,6,60,43,57.2,39.5,31.3,58.7,71.67,46.34,Low
S0772,21,Female,Low,South,11,7,51.620518347584735,29.0,8,1,0.35,252.0,19,5,Morning,2,60,31,45.1,30.0,46.8,50.1,51.67,44.09,Low
S1420,23,Female,Low,East,59,2,43.032055712704604,28.0,2,2,0.71,177.0,13,7,Night,1,60,56,91.5,94.0,99.2,100.0,93.33,96.86,High
S1042,22,Female,Low,West,36,2,53.14322851407777,48.0,3,4,0.5,78.0,19,8,Night,9,60,51,73.6,60.3,74.8,65.3,85.0,68.81,Medium
S1790,23,Male,Medium,North,54,1,65.97817098408464,49.0,4,1,0.66,250.0,18,5,Night,10,60,58,92.0,89.0,90.9,99.6,96.67,93.35,High
S0760,23,Male,High,West,22,9,45.99886954409213,49.0,0,4,0.93,300.0,20,9,Evening,7,60,44,55.6,52.2,39.0,46.8,73.33,47.3,Low
S0383,20,Female,Medium,West,22,4,50.72006278300473,35.0,4,2,0.83,255.0,23,9,Afternoon,12,60,36,56.2,40.6,57.8,53.5,60.0,52.75,High
S1104,19,Male,High,North,27,8,47.5289279569031,62.0,1,3,0.43,188.0,23,10,Evening,5,60,48,78.9,73.1,76.9,73.5,80.0,75.52,Medium
S0974,17,Male,Medium,South,42,2,47.906046972617915,80.0,2,4,0.39,221.0,19,14,Afternoon,4,60,51,75.7,61.9,72.7,69.5,85.0,70.18,Medium
S0353,17,Female,Medium,North,9,7,47.04758882401784,86.0,4,4,0.54,176.0,14,12,Afternoon,1,60,31,57.7,53.2,32.8,50.5,51.67,47.17,Low
S1606,19,Male,Medium,West,46,5,51.52795783564472,48.0,6,2,0.76,248.0,21,20,Night,11,60,59,91.1,93.4,93.3,89.3,98.33,91.68,High
S1826,17,Female,Low,South,59,2,46.99152829921884,90.0,4,2,0.38,172.0,28,13,Night,12,60,57,98.5,91.6,87.7,94.5,95.0,92.68,High
S1037,17,Male,Medium,North,37,2,60.383949844382784,97.0,0,1,0.64,266.0,16,8,Evening,8,60,54,69.2,64.7,76.6,71.4,90.0,71.18,Medium
S1108,21,Male,High,East,34,6,47.997961715729296,67.0,2,4,0.76,185.0,20,7,Morning,12,60,54,75.0,60.6,72.6,70.2,90.0,69.96,Medium
S0495,21,Female,High,West,13,1,36.53640280113027,72.0,3,3,0.52,213.0,24,13,Morning,8,60,43,52.2,53.0,46.0,54.9,71.67,51.31,Low
S0394,24,Female,Medium,North,13,9,,,5,1,0.32,,16,12,Evening,10,60,30,45.6,,46.4,37.1,50.0,42.67,Low
S1547,20,Female,High,West,59,4,57.77625754169493,69.0,7,3,0.72,122.0,12,15,Afternoon,8,60,55,85.3,88.8,87.7,93.2,91.67,89.09,High
S0465,20,Female,Low,North,8,6,45.86110868258978,66.0,2,1,0.6,137.0,20,7,Afternoon,7,60,43,52.3,30.3,52.6,51.7,71.67,47.81,Low
S0887,21,Female,Low,West,35,6,47.70049613445196,76.0,1,2,0.69,264.0,21,8,Night,12,60,49,72.5,70.2,76.2,69.0,81.67,72.1,Medium
S1194,19,Male,High,West,40,7,,,2,1,0.95,,21,8,Evening,4,60,47,67.9,,67.5,74.4,78.33,70.33,Medium
S0367,22,Male,High,East,23,1,34.80304680291143,24.0,4,4,0.63,205.0,17,7,Evening,3,60,30,48.6,54.6,51.2,42.8,50.0,48.84,Low
S1894,18,Male,Low,East,52,7,28.05959054690561,38.0,3,1,0.95,159.0,21,4,Morning,2,60,55,89.1,89.2,85.7,88.1,91.67,87.8,High
S1874,23,Female,High,North,59,9,47.25550477778262,79.0,1,3,0.64,189.0,19,18,Evening,2,60,55,86.8,95.3,91.4,92.9,91.67,91.71,High
S0745,19,Female,High,North,7,3,47.26684248494597,33.0,4,3,0.98,236.0,26,12,Afternoon,1,60,36,53.9,48.2,55.6,57.0,60.0,54.2,High
S0530,18,Male,Medium,North,18,2,40.18234028906525,28.0,3,3,0.93,95.0,23,14,Night,9,60,39,56.1,31.0,48.8,51.3,65.0,47.45,Low
S0803,24,Female,Medium,East,35,1,45.42249604426835,44.0,2,4,0.88,173.0,21,11,Afternoon,10,60,54,75.6,62.7,72.2,77.7,90.0,72.63,Medium
S1224,24,Male,Low,North,29,5,23.71409791173069,46.0,4,3,0.96,90.0,17,4,Night,1,60,49,71.0,66.3,65.1,70.5,81.67,68.14,Medium
S1979,18,Female,Medium,North,51,4,38.53990891827341,70.0,3,1,0.63,67.0,21,11,Evening,2,60,58,99.7,82.5,97.8,92.9,96.67,93.65,High
S1906,18,Male,Medium,North,47,7,22.20474695339378,56.0,5,1,0.66,175.0,22,14,Morning,5,60,59,88.1,93.4,91.8,90.6,98.33,91.02,Medium
S1700,19,Male,Medium,West,46,6,50.031399667312996,20.0,4,1,0.5,266.0,20,11,Morning,6,60,57,99.0,92.5,98.2,86.9,95.0,93.83,High
S1545,18,Male,Low,South,51,7,45.036437645017514,67.0,4,2,0.82,243.0,14,8,Morning,7,60,59,97.1,99.7,90.4,87.9,98.33,92.85,High
S1314,24,Male,High,North,38,9,24.244049351221634,19.0,2,1,1.0,174.0,23,14,Afternoon,11,60,45,78.4,61.2,74.5,65.1,75.0,69.8,Medium
S0307,20,Male,Medium,South,18,4,24.349169537436794,15.0,4,4,0.47,202.0,30,23,Evening,9,60,34,42.7,40.9,45.2,58.4,56.67,47.8,Low
S1667,21,Female,Low,West,47,3,35.571204411268454,72.0,0,3,0.7,230.0,12,6,Morning,3,60,59,89.4,90.4,95.1,87.4,98.33,90.71,High
S0863,23,Female,Medium,South,26,8,41.63849997282248,33.0,4,2,0.93,89.0,26,9,Morning,9,60,51,68.8,66.3,68.7,67.7,85.0,67.94,Medium
S1567,22,Male,Medium,South,55,3,35.65795601575532,50.0,5,4,0.87,251.0,17,9,Morning,8,60,59,98.1,89.9,95.2,97.4,98.33,95.38,High
S0531,17,Female,Medium,South,9,7,48.24458604352517,62.0,2,3,0.6,193.0,20,9,Morning,11,60,39,45.6,30.8,51.6,53.5,65.0,46.81,Low
S0655,22,Male,Low,West,19,9,64.48342644789813,23.0,5,4,0.67,193.0,19,9,Evening,7,60,37,51.1,38.3,45.3,49.7,61.67,46.38,High
S1260,20,Female,Medium,West,30,5,55.605598780918186,46.0,6,4,0.62,204.0,17,12,Night,14,60,53,76.8,61.0,71.2,80.0,88.33,72.92,Medium
S0234,20,Female,Low,East,16,4,47.24234744535292,17.0,2,4,0.83,163.0,13,14,Night,12,60,39,49.2,35.9,44.5,49.6,65.0,45.25,Low
S0121,24,Male,High,West,18,7,51.549755842216896,71.0,3,4,0.38,139.0,24,10,Morning,3,60,38,45.1,53.8,53.2,42.6,63.33,48.52,Low
S1698,24,Female,Low,South,52,4,48.09777667266222,73.0,3,2,0.69,175.0,28,6,Evening,11,60,59,97.2,93.2,97.6,95.5,98.33,96.01,High
S0950,19,Female,Low,South,26,6,67.58460796154644,77.0,5,3,0.76,227.0,25,11,Morning,9,60,54,77.3,64.8,73.2,71.5,90.0,71.83,Medium
S0618,24,Male,Low,West,22,6,29.021278655051624,95.0,3,4,0.75,167.0,18,11,Morning,7,60,42,51.4,59.6,34.0,59.6,70.0,50.28,Low
S1179,17,Female,Medium,West,37,8,50.22971573896945,28.0,2,4,0.81,203.0,19,19,Evening,7,60,53,67.0,62.2,67.0,73.4,88.33,67.96,Medium
S0308,18,Female,Medium,North,14,6,45.28457581183159,35.0,4,1,0.92,227.0,18,10,Afternoon,14,60,44,54.1,34.4,45.5,39.7,73.33,43.26,Low
S0136,21,Male,Low,North,19,8,46.82501030599214,89.0,5,1,0.66,149.0,18,6,Evening,7,60,41,44.0,31.8,31.0,41.4,68.33,36.88,Low
S0555,17,Female,Medium,West,24,4,39.10107682244392,20.0,1,1,0.72,156.0,21,4,Night,14,60,36,47.6,34.6,42.6,52.3,60.0,44.91,Low
S1674,24,Male,Medium,North,59,4,45.8732485448212,87.0,2,2,0.88,143.0,13,10,Evening,10,60,59,95.4,81.8,88.3,94.5,98.33,90.28,High
S0584,18,Female,Low,West,18,1,39.762686972285785,79.0,7,4,0.65,99.0,17,10,Afternoon,10,60,35,58.9,55.8,48.7,50.1,58.33,52.58,Low
S1641,23,Male,Low,West,50,7,46.489963219683716,14.0,3,1,0.5,216.0,19,15,Morning,6,60,56,96.5,94.6,96.6,87.7,93.33,93.51,High
S0671,17,Male,Medium,South,6,4,50.91442151751855,19.0,2,1,0.89,108.0,19,7,Morning,12,60,41,57.0,59.8,57.1,48.3,68.33,54.98,Low
S0835,23,Male,Medium,East,31,1,30.17881629565987,76.0,5,1,0.55,151.0,29,9,Evening,10,60,51,77.2,74.0,76.6,69.3,85.0,74.01,Medium
S0110,23,Female,Medium,South,12,3,47.12093353074175,41.0,3,4,0.67,253.0,20,10,Night,7,60,34,48.0,48.7,45.6,53.2,56.67,48.98,Low
S1165,20,Female,Medium,North,32,2,48.48286247666818,89.0,1,3,0.58,202.0,15,11,Morning,13,60,48,76.2,65.3,78.5,75.4,80.0,74.47,Medium
